id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi_lahir,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,124780,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46656,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41472,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,62766,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,56177,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30986,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18430,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19893,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,47016,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20863,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20055,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35484,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31088,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19755,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,48923,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,94579,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29384,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6044,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,19875,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6145,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,42389,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,5536,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,44298,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,41817,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,10341,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11813,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,3247,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,121415,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46239,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42713,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,69205,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,52965,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30753,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18492,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19525,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,47211,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20224,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19819,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34362,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,27865,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19534,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44903,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,74907,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29904,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6191,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,20502,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6010,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,41850,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,5395,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,47065,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,42665,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,10528,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11991,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,3138,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,117494,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,350,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44306,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,68042,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,55036,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30778,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19576,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19875,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,47886,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20692,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19312,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34846,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,31103,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19172,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44031,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,72886,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29991,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6156,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,19699,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,6021,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,41043,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,5680,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,47338,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,43268,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,10827,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12020,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,3012,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,113665,ORANG,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46999,ORANG,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47324,ORANG,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66974,ORANG,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,52621,ORANG,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30506,ORANG,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,16899,ORANG,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19370,ORANG,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,47620,ORANG,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21030,ORANG,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19156,ORANG,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30154,ORANG,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,33280,ORANG,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17650,ORANG,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,43049,ORANG,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,77402,ORANG,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30558,ORANG,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6136,ORANG,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,18792,ORANG,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6167,ORANG,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,34414,ORANG,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,5189,ORANG,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,46126,ORANG,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,44511,ORANG,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,10402,ORANG,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11845,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,2979,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,109561,ORANG,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45196,ORANG,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42225,ORANG,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73888,ORANG,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,60424,ORANG,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29950,ORANG,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18438,ORANG,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18469,ORANG,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,46341,ORANG,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19835,ORANG,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17881,ORANG,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28613,ORANG,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,33340,ORANG,2021
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18082,ORANG,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,37657,ORANG,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,76801,ORANG,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23679,ORANG,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6020,ORANG,2021
127,32,JAWA BARAT,3271,KOTA BOGOR,17613,ORANG,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,5771,ORANG,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,38017,ORANG,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,5081,ORANG,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,44445,ORANG,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,41778,ORANG,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,10096,ORANG,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11520,ORANG,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,2849,ORANG,2021
